"Sourse","Context","Translation"
"(<PLAYER> can’t be bothered.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> не можна турбувати.)"
"(<PLAYER>\'s brain broke.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(У <PLAYER> зламався мозок.)"
"(<PLAYER> spaced out.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> рознесений.)"
"(<PLAYER> choked under pressure.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> захлинувся під тиском.)"
"(Anything is funnier than nothing, <PLAYER>!)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Будь-що веселіше, ніж нічого, <PLAYER>!)"
"(Bad form, <PLAYER>. Bad form.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Погано, <PLAYER>. Занадто погано.)"
"(Everyone shun <PLAYER>.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Усі цураються <PLAYER>.)"
"(Wish you were here, <PLAYER>!)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Хотів би, щоб ти був тут, <PLAYER>!)"
"(Someone show <PLAYER> how their keyboard works.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Хтось, покажіть <PLAYER>, як працює клавіатура.)"
"(Is <PLAYER> in the bathroom?)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Чи <PLAYER> у ванній?)"
"(You\'re better than this, <PLAYER>.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Ти краще за це, <PLAYER>.)"
"(<PLAYER> values quality over quantity.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> цінує якість вище, ніж кількість.)"
"(<PLAYER> is a conscientious objector.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> відмовляється від совісті.)"
"(<PLAYER> doesn\'t quite get it.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> не зовсім розуміє, що тут коїться.)"
"(<PLAYER> didn\'t type anything. So here we are.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> нічого не ввів. Тому ми тут.)"
"(Somebody poke <PLAYER>.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Хто-небудь, будь ласка, ткніть <PLAYER>.)"
"(<PLAYER> ruined it for everyone.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> зіпсував гру для всіх.)"
"(Wake up, <PLAYER>!)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Прокидайся, <PLAYER>!)"
"(It\'s okay, <PLAYER>. It happens to everyone.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(Все гаразд, <PLAYER>. З кожним це буває.)"
"(<PLAYER> really pulled a <PLAYER> on this one.)","Сообщение о том что игрок ничего не написал (ничего не пошутил)","(<PLAYER> дійсно витягнув <PLAYER> на цьому.)"
"","",""
"","",""
"","",""
"","",""
"Ties broken by how many hard boiled eggs you can eat in an hour.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічиї вирішені кількістю зварених вкруту яєць, які б ви змогли з'їсти за годину."
"Ties broken by whose evil twin is eviler.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Внічию розірвав той, чий злий близнюк зліший."
"Ties broken by total square inches of elbow skin.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Внічию розірвав той у кого більше площа ліктя у квадратних см."
"Ties broken by racing turtles we named after you.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвалася через перегони черепах, які названі на вашу честь."
"Ties broken by number of times you picked Thai for lunch.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана через кількість локшини, що з'їли на обід."
"Ties broken by player shoe size.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана розміром взуття гравців."
"Ties broken by whose dad would win in a fight.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана ймовірною перемогою батька в поєдинку."
"Ties broken by which player looks best in heels.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана тим, кому краще личать підбори."
"Ties broken by lifetime bowling score.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічию розірвав багаторазовий переможець з боулінгу."
"Ties broken based on player neck circumference.","Разрыв ничьи (ties) между игроками во время подсчёта очков","Нічия розірвана на основі розміру ваших ший."
